is_simulcast,episode_count,audio_locales,title,keywords,subtitle_locales,description,content_provider,is_dubbed,series_launch_year,is_mature,is_subbed,id,season_count,maturity_ratings,average,total,1s_displayed,1s_unit,1s_percentage,2s_displayed,2s_unit,2s_percentage,3s_displayed,3s_unit,3s_percentage,4s_displayed,4s_unit,4s_percentage,5s_displayed,5s_unit,5s_percentage,season_tags
False,13,"en-US, ja-JP",Kakushigoto,"drama, comedy","hi-IN, en-US","Single father Kakushi Goto has a secret. He’s a top-selling artist of popular erotic manga, but his impressionable young daughter, Hime, can never find out! Now he’s having to bend over backwards just to keep her inquisitive little mind from discovering what he does for a living. A father-daughter tale of love and laughter.",Kodansha Ltd.,True,2022,False,True,G0XHWM00Z,2,TV-14,4.7,2190,32,,2,20,,1,84,,4,293,,14,1.8,K,81,
True,12,"ja-JP, en-US",Heroines Run the Show,"drama, music","fr-FR, it-IT, ru-RU, de-DE, ar-SA, en-US, es-ES, es-419, pt-BR","What would you do to pursue your passion? For Hiyori Suzumi, it’s leaving her simple rural hometown for the bustling city of Tokyo to join Sakuragaoka High School’s track team. Between being a manager-in-training for two cutthroat schoolboy idols, track, and friends, Hiyori shows no signs of slowing down.",Laulea Works,True,2022,False,True,G0XHWM023,1,TV-14,4.6,3145,82,,3,39,,2,162,,6,511,,17,2.4,K,75,spring-2022
False,12,"fr-FR, en-US, de-DE, hi-IN, es-419, en-IN, pt-BR, ja-JP",Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,"deutsche synchro, sci-fi, action, shinichi fukumoto","ar-SA, es-ES, fr-FR, de-DE, en-US, es-419, pt-BR, ru-RU, it-IT","Selfish office worker Leon has a problem. He’s just been thrust into an otome world, where men are treated as little more than animals. Competing for the attention of women against other handsome suitors is not his idea of fun, especially when all he wants is to relax. Ok, fine. He’ll play their little game, even start a revolution, if that’s what it takes for him to get some peace and quiet!",Kadokawa Pictures Inc.,True,2022,False,True,G0XHWM0D3,1,TV-14,4.8,44355,594,,2,324,,1,1.2,K,3,4.8,K,11,37.4,K,85,spring-2022
False,12,"ja-JP, en-US, ru-RU, hi-IN, en-IN",Miss KUROITSU from the Monster Development Department,"comedy, sci-fi","ru-RU, ar-SA, en-US, es-419, es-ES, fr-FR, it-IT, de-DE, pt-BR","In a world where good and evil are in constant conflict, there are those who wage unseen battles. Specifically, the development department that churns out the evil monsters that have to fight the good heroes. Located in the deep underground laboratories of Secret Society Agastia, its scientists do more than just research and experiments. They also have to secure development budgets, manage schedules, and gain the approval of executives through the daily battle known as... the presentation!

Touka Kuroitsu works as a rank-and-file researcher at Agastia. With Dr. Sadamaki by her side, can she overcome the many trials thrown her way to create a brilliant hero-slaying monster?! Standing in their way is their mortal enemy, the anonymous but unrivaled transforming hero, Divine Swordsman Blader!

This story chronicles a new perspective from the professionals who fight hard trying to develop a monster that can beat a superhero!",ABC Asahi,True,2022,False,True,G0XHWM0G9,1,TV-14,4.3,3129,220,,8,103,,4,264,,9,581,,19,2,K,63,winter-2022
True,6,"hi-IN, ja-JP, es-419, pt-BR",Rurouni Kenshin,,"es-ES, hi-IN, en-US, de-DE, pt-BR, es-419, ru-RU, ar-SA, it-IT, fr-FR","During the upheaval of the Bakumatsu Era, there was an Imperialist warrior feared as the ""Hitokiri Battosai."" However, upon the arrival of the new era the Battosai disappeared from the public eye, leaving behind just his legend of the strongest Revolutionary warrior.

Years later in downtown Tokyo, on the 11th year of Meiji.
Kenshin Himura, a traveling swordsman who vowed to never kill again on the sakabato (reverse blade sword) he carries on his hip, meets Kaoru Kamiya, the head instructor of the Kamiya Kasshin-ryu sword style.
Kenshin solves the case of a crossroad killer who was tarnishing the name of the Kasshin-ryu while claiming to be the ""Hitokiri Battosai,"" which then leads to Kaoru offering to have the wanderer stay at her dojo.
Follow Kenshin's journey as he makes treasured friendships with Yahiko Myojin, a descendent of a samurai-class family in Tokyo, and Sanosuke Sagara, a fighter for hire, and faces off against various foes who have unfinished business from Kenshin's past.
The curtains have opened on the inspiring tale of a swordsman, and the resolute people surrounding him, living in the new Meiji Era.",Aniplex of America,True,2023,False,True,G0XHWM1NK,1,TV-14,4.9,9487,185,,2,32,,1,79,,1,267,,3,8.9,K,95,summer-2023
True,9,ja-JP,BanG Dream! It's MyGO!!!!!,"music, slice of life","it-IT, es-419, en-US, es-ES, ru-RU, ar-SA, fr-FR, de-DE, pt-BR","The best way to fit in at a new school? Start a band! Anon has just transferred to Haneoka Girls’ Academy where girl bands are all the rage. But she started school late, so there aren’t many girls left to recruit. Then she meets her first friend and Haneoka’s misfit, Tomori, who’s hesitant to join. Still, Anon is determined to persuade Tomori and experience the true power of friendship and music.","Bushiroad, Inc.",False,2023,False,True,G0XHWM1NV,1,TV-14,4.3,470,60,,13,10,,3,20,,5,35,,8,345,,74,"spring-2023, summer-2023"
False,47,ja-JP,Mobile Suit Gundam ZZ,"sci-fi, action, drama",en-US,"Young Judau and the Double Zeta Gundam rise to oppose the Neo-Zeon, led by Haman Karn! A direct sequel in the Mobile Suit Gundam series which portrays the first Neo-Zeon War following the aftermath of the Gryps Conflict.",Sunrise,False,2022,False,True,G0XHWM435,1,TV-14,4.3,372,22,,6,7,,2,43,,12,69,,19,231,,63,
False,12,ja-JP,My Stepmom's Daughter Is My Ex,"romance, comedy","it-IT, de-DE, en-US, fr-FR, ar-SA, es-ES, pt-BR, es-419, ru-RU","A boy and a girl started dating in middle school. They were lovey-dovey at first, but due to a misunderstanding over something trivial, they started feeling more frustration than excitement... In the end, they broke up when they graduated. However, Mizuto Irido and Yume Ayai meet again in a surprising way before they start high school. ""Obviously I'm the older brother here."" ""Obviously I'm the older sister here."" The child of their parent's new spouse is the ex they just broke up with?! Out of consideration for their parents, this former couple comes up with a ""sibling rule,"" which is: ""Whoever starts seeing the other as potentially attractive loses."" But they sometimes run into each other right after a bath. They're also alone on their way to and from school, so... Because of the memories they share and because of this situation where they live under the same roof, how can they help but pay attention to each other?!","Happinet Co., Ltd.",False,2022,False,True,G0XHWM44M,1,TV-14,4.4,20841,1.1,K,6,470,,3,1.2,K,6,3.4,K,17,14.7,K,71,summer-2022
False,11,"ja-JP, zh-CN",Cinderella Chef,"fantasy, slice of life, li ni","de-DE, ar-SA, pt-BR, fr-FR, it-IT, es-ES, ru-RU, en-US, es-419","Ye Jiayao was destined to work with food, but she probably didn’t think it’d be as a gourmet magazine editor. That all changes when she’s magically transported to Imperial China as head chef of the Jinling Heavenly House and falls in love. But it isn’t long before her happiness is thwarted as her lover vanishes. Will she find him and continue her cuisine dreams or lose her spice for life?",Bilibili Inc,True,2022,False,True,G0XHWM45M,1,TV-14,4.0,1072,185,,18,29,,3,62,,6,138,,13,658,,62,summer-2022
False,12,"en-US, ja-JP",Smile Down the Runway,"drama, shojo","de-DE, en-US, es-419, fr-FR, hi-IN, ar-SA",Chiyuki was told she was too short to walk the Paris runway. Ikuto’s family duties are hampering his desire to be a fashion designer. They will need to forge their own paths if they want to see their dreams realized.,DMM Corporation,True,2022,False,True,G0XHWM4KQ,1,TV-14,4.7,746,16,,3,5,,1,16,,3,105,,15,604,,81,
